"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
158,2,6,3.08163265306122,33.9343537414966,0.16156462585034,12.5707482993197,2.08067006802721,4.48979591836735,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.137820512820513,36,0.00382834757834758
158,2,7,7.98076923076923,33.4472503991735,0.348002104732874,11.6607660501891,1.62464135597309,5.08,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.599358974358974,36,-0.0166488603988604
158,2,8,18.5384615384615,33.4765530151778,0.218755915225693,11.7780659876546,1.85511120892067,9.63461538461539,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.45512820512821,36,-0.0404202279202279
158,2,9,8.43137254901961,33.6979291101696,0.22824849122427,9.36769344489933,1.47068443875105,4.80769230769231,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.525641025641026,36,-0.0146011396011396
158,2,10,4.76,31.4251241536242,0.29433904983905,9.36848468198468,1.30929088134088,3.4,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.179487179487179,36,-0.00498575498575499
158,2,11,4.11538461538461,34.1499465811966,0.228304334554335,9.14698565323565,1.13955868437118,3.90384615384615,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.0576923076923077,36,-0.0016025641025641
158,3,6,3.74509803921569,33.5548786181139,0.0766573295985061,12.3231792717087,1.79141246498599,4.82692307692308,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0865384615384615,36,0.00240384615384615
158,3,7,10.9411764705882,36.0146111513759,0.341677875501405,11.6858998300175,1.67122571981396,5.41176470588235,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.958333333333333,36,-0.0266203703703704
158,3,8,20.5384615384615,33.7232418453297,0.203040577022205,11.2535371764648,NA,10.6153846153846,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.63782051282051,36,-0.0454950142450142
158,3,9,10.7884615384615,34.1308230403852,0.287672262664044,8.95747614706722,1.36829020496685,6.32692307692308,"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.701923076923077,36,-0.0194978632478632
