id,bikes,slots,maxcapacity,bike_prop,slots_prop,categoria,canasta_categoria,1,2,3,4
83,11,4,15,0.733333333333,0.266666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
84,7,14,21,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
85,3,12,15,0.2,0.8,1,"[0, 0.25)",1.0,0.0,0.0,0.0
86,3,18,21,0.142857142857,0.857142857143,1,"[0, 0.25)",1.0,0.0,0.0,0.0
87,9,15,24,0.375,0.625,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
88,0,15,15,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
89,12,0,12,1.0,0.0,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
90,19,8,27,0.703703703704,0.296296296296,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
91,6,15,21,0.285714285714,0.714285714286,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
92,10,11,21,0.47619047619,0.52380952381,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
93,5,31,36,0.138888888889,0.861111111111,1,"[0, 0.25)",1.0,0.0,0.0,0.0
94,11,13,24,0.458333333333,0.541666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
95,6,12,18,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
96,28,7,35,0.8,0.2,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
97,8,19,27,0.296296296296,0.703703703704,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
98,17,19,36,0.472222222222,0.527777777778,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
99,21,9,30,0.7,0.3,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
100,6,18,24,0.25,0.75,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
101,7,26,33,0.212121212121,0.787878787879,1,"[0, 0.25)",1.0,0.0,0.0,0.0
102,5,10,15,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
103,21,6,27,0.777777777778,0.222222222222,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
104,10,5,15,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
105,5,19,24,0.208333333333,0.791666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
106,10,16,26,0.384615384615,0.615384615385,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
107,4,31,35,0.114285714286,0.885714285714,1,"[0, 0.25)",1.0,0.0,0.0,0.0
108,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
109,1,27,28,0.0357142857143,0.964285714286,1,"[0, 0.25)",1.0,0.0,0.0,0.0
110,8,28,36,0.222222222222,0.777777777778,1,"[0, 0.25)",1.0,0.0,0.0,0.0
111,2,22,24,0.0833333333333,0.916666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
112,2,22,24,0.0833333333333,0.916666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
113,0,20,20,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
